Date,Close/Last,Volume,Open,High,Low
11/22/2021,$253.48,2438758,$252.67,$255.45,$252.21
11/19/2021,$251.95,2743402,$253.29,$253.32,$250.225
11/18/2021,$253.48,1751189,$253.16,$253.49,$251.08
11/17/2021,$252.69,1412025,$252.41,$253.335,$250.52
11/16/2021,$252.46,2195461,$253.50,$254.19,$252.38
11/15/2021,$252.94,1709216,$250.67,$253.76,$250.67
11/12/2021,$250.67,1625338,$250.15,$251.01,$248.89
11/11/2021,$250.16,1640596,$253.33,$253.33,$249.26
11/10/2021,$253.13,1794531,$250.81,$253.72,$250.81
11/09/2021,$252.65,2258953,$252.91,$253.69,$250.45
11/08/2021,$253.10,2471271,$254.78,$255.65,$251.93
11/05/2021,$254.71,3224285,$254.69,$257.53,$254.62
11/04/2021,$253.46,2711311,$251.12,$254.18,$250.20
11/03/2021,$250.40,2399239,$247.99,$251.125,$247.91
11/02/2021,$249.24,2624333,$251.76,$252.22,$248.1646
11/01/2021,$250.58,4456549,$245.80,$251.69,$245.34
10/29/2021,$245.55,4329465,$243.00,$246.09,$242.47
10/28/2021,$245.50,3448483,$243.40,$246.08,$242.53
10/27/2021,$242.73,5249422,$241.05,$244.62,$238.85
10/26/2021,$236.42,3066386,$237.47,$238.40,$236.14
10/25/2021,$237.34,3178536,$239.23,$239.25,$236.50
10/22/2021,$238.44,3283657,$240.71,$242.24,$238.00
10/21/2021,$241.40,2702367,$240.17,$241.9096,$239.31
10/20/2021,$239.72,3040188,$240.40,$242.645,$239.285
10/19/2021,$242.77,2071598,$243.22,$243.93,$241.53
10/18/2021,$242.26,2484874,$242.42,$243.45,$241.13
10/15/2021,$242.25,2564768,$245.24,$246.38,$241.99
10/14/2021,$244.55,2512501,$242.88,$245.42,$242.04
10/13/2021,$242.65,3214784,$243.27,$243.872,$239.90
10/12/2021,$244.52,2346972,$247.73,$248.60,$244.175
10/11/2021,$246.58,1503978,$248.10,$249.14,$246.45
10/08/2021,$247.70,1687649,$249.25,$249.63,$247.11
10/07/2021,$248.32,2423878,$248.00,$249.95,$247.68
10/06/2021,$247.10,2107922,$244.56,$247.16,$243.02
10/05/2021,$245.22,2463265,$243.97,$246.88,$243.01
10/04/2021,$243.08,2236513,$242.06,$244.81,$241.86
10/01/2021,$242.93,2076087,$243.07,$244.69,$240.25
09/30/2021,$241.11,3137256,$244.77,$245.4208,$240.82
09/29/2021,$244.28,1719144,$244.38,$245.71,$243.15
