Date,Close/Last,Volume,Open,High,Low
03/14/2023,32155.40,N/A,32055.29,32306.59,31805.40
03/13/2023,31819.14,N/A,31819.93,32240.35,31624.87
03/10/2023,31909.64,N/A,32185.14,32422.10,31783.41
03/09/2023,32254.86,N/A,32876.83,32990.46,32190.60
03/08/2023,32798.40,N/A,32872.08,32903.44,32612.70
03/07/2023,32856.46,N/A,33428.31,33453.25,32838.21
03/06/2023,33431.44,N/A,33425.32,33572.22,33383.47
03/03/2023,33390.97,N/A,33076.33,33405.82,33008.41
03/02/2023,33003.57,N/A,32780.97,33083.45,32665.85
03/01/2023,32661.84,N/A,32656.37,32746.15,32500.71
02/28/2023,32656.70,N/A,32873.47,32873.47,32636.43
02/27/2023,32889.09,N/A,32906.16,33189.28,32814.18
02/24/2023,32816.92,N/A,32999.19,32999.19,32643.48
02/23/2023,33153.91,N/A,33175.39,33272.40,32795.67
02/22/2023,33045.09,N/A,33169.33,33245.97,32948.27
02/21/2023,33129.59,N/A,33699.69,33699.69,33115.74
02/17/2023,33826.69,N/A,33677.01,33846.64,33517.73
02/16/2023,33696.85,N/A,33992.09,34041.16,33686.59
02/15/2023,34128.05,N/A,34008.63,34130.49,33833.10
02/14/2023,34089.27,N/A,34194.09,34331.47,33827.45
02/13/2023,34245.93,N/A,33887.39,34249.60,33887.39
02/10/2023,33869.27,N/A,33671.54,33897.31,33591.99
02/09/2023,33699.88,N/A,34105.61,34252.57,33607.13
02/08/2023,33949.01,N/A,34132.90,34161.65,33899.79
02/07/2023,34156.69,N/A,33769.78,34240.00,33634.10
02/06/2023,33891.02,N/A,33874.44,33962.84,33683.58
02/03/2023,33926.01,N/A,33926.30,34179.58,33813.86
02/02/2023,34053.94,N/A,34129.30,34145.14,33814.78
02/01/2023,34092.96,N/A,34039.60,34334.70,33581.42
01/31/2023,34086.04,N/A,33803.56,34095.23,33664.91
01/30/2023,33717.09,N/A,33909.21,34055.29,33695.18
01/27/2023,33978.08,N/A,33952.93,34164.33,33830.85
01/26/2023,33949.41,N/A,33771.66,33953.79,33635.60
01/25/2023,33743.84,N/A,33538.36,33773.09,33273.21
01/24/2023,33733.96,N/A,33444.72,33782.92,33310.56
01/23/2023,33629.56,N/A,33439.56,33782.88,33316.25
01/20/2023,33375.49,N/A,33073.46,33381.95,32948.93
01/19/2023,33044.56,N/A,33171.35,33227.49,32982.05
01/18/2023,33296.96,N/A,33948.49,34016.53,33269.90
01/17/2023,33910.85,N/A,34222.32,34269.97,33860.67
